param duration :=
1 1 8
1 2 15
1 3 14 
1 4 23
1 5 8
1 6 16
1 7 8
1 8 25
1 9 9
1 10 17
2 1 15
2 2 7
2 3 23
2 4 22
2 5 11
2 6 11
2 7 12
2 8 10
2 9 17
2 10 16
3 1 21
3 2 20
3 3 6
3 4 22
3 5 24
3 6 10
3 7 24
3 8 9
3 9 21
3 10 14
4 1 20
4 2 11
4 3 8
4 4 14
4 5 9
4 6 5
4 7 6
4 8 19
4 9 19
4 10 7
5 1 8
5 2 13
5 3 13
5 4 13
5 5 10
5 6 20
5 7 25 
5 8 16
5 9 16
5 10 17
;
param cost :=
1 1 17
1 2 21
1 3 22
1 4 18
1 5 24
1 6 15
1 7 20
1 8 18
1 9 19
1 10 18
2 1 23
2 2 16
2 3 21
2 4 16
2 5 17
2 6 16
2 7 19
2 8 25
2 9 18
2 10 21
3 1 16
3 2 20
3 3 16
3 4 25
3 5 24
3 6 16
3 7 17
3 8 19
3 9 19
3 10 18
4 1 19
4 2 19
4 3 22
4 4 22
4 5 20
4 6 16
4 7 19
4 8 17
4 9 21
4 10 19
5 1 18
5 2 19
5 3 15
5 4 15
5 5 21
5 6 25
5 7 16
5 8 16
5 9 23
5 10 15
;
param capacity :=
1 18
2 19
3 25
4 19
5 20
;
